year,ticker,N,delta,xmin,alpha,gamma (nlls),gamma (psd),phi exponent,phi exponent half width,beta,beta half width
2024,ABG,500,2.0,2.0,1.532788085937499,0.5670970133386046,0.4916658024911872,0.6845494774187297,0.06413343768782614,0.1155979276491566,0.0112846681321526
2025,ABG,500,2.0,2.0,1.570141601562499,0.6066196337483291,0.5692074066034145,0.6845494774187297,0.06413343768782614,0.1155979276491566,0.0112846681321526
2023,ABG,500,3.0,2.0,1.6898193359374991,0.5934986310410548,0.5732134267050923,0.5460754410616374,0.06959428779510916,0.07894627807499902,0.017609755544097196
2024,ABG,500,3.0,2.0,1.6617675781249992,0.5670970133386046,0.4916658024911872,0.5460754410616374,0.06959428779510916,0.07894627807499902,0.017609755544097196
2025,ABG,500,3.0,2.0,1.6962646484374986,0.6066196337483291,0.5692074066034145,0.5460754410616374,0.06959428779510916,0.07894627807499902,0.017609755544097196
2023,ABG,500,4.0,2.0,1.7002197265624996,0.5934986310410548,0.5732134267050923,0.5428446526050341,0.0685927758923717,0.08791722067895516,0.015443965340631135
2024,ABG,500,4.0,2.0,1.6761962890624993,0.5670970133386046,0.4916658024911872,0.5428446526050341,0.0685927758923717,0.08791722067895516,0.015443965340631135
2025,ABG,500,4.0,2.0,1.708569335937499,0.6066196337483291,0.5692074066034145,0.5428446526050341,0.0685927758923717,0.08791722067895516,0.015443965340631135
2023,ABG,500,5.0,2.0,1.6972167968749994,0.5934986310410548,0.5732134267050923,0.5521552847806861,0.07058826475637936,0.08798626194993031,0.017480051990921924
2024,ABG,500,5.0,2.0,1.6796386718749994,0.5670970133386046,0.4916658024911872,0.5521552847806861,0.07058826475637936,0.08798626194993031,0.017480051990921924
2025,ABG,500,5.0,2.0,1.7176513671874991,0.6066196337483291,0.5692074066034145,0.5521552847806861,0.07058826475637936,0.08798626194993031,0.017480051990921924
2023,ABG,1000,1.5,4.0,1.989086914062499,0.5934986310410548,0.5732134267050923,0.8713598455433068,0.05877277907040409,0.13839330070321873,0.003913152715144094
2024,ABG,1000,1.5,4.0,1.8381347656249996,0.5670970133386046,0.4916658024911872,0.8713598455433068,0.05877277907040409,0.13839330070321873,0.003913152715144094
2025,ABG,1000,1.5,4.0,1.9686523437499996,0.6066196337483291,0.5692074066034145,0.8713598455433068,0.05877277907040409,0.13839330070321873,0.003913152715144094
2023,ABG,1000,2.0,2.0,1.6152954101562496,0.5934986310410548,0.5732134267050923,0.5981153976729626,0.06716214990221998,0.08369719727317355,0.01554814812722659
2024,ABG,1000,2.0,2.0,1.581127929687499,0.5670970133386046,0.4916658024911872,0.5981153976729626,0.06716214990221998,0.08369719727317355,0.01554814812722659
2025,ABG,1000,2.0,2.0,1.6192871093749992,0.6066196337483291,0.5692074066034145,0.5981153976729626,0.06716214990221998,0.08369719727317355,0.01554814812722659
2023,ABG,1000,3.0,2.0,1.6986816406249994,0.5934986310410548,0.5732134267050923,0.4900178748094299,0.07714592795860593,-0.05174725439370898,0.028782249307608383
2024,ABG,1000,3.0,2.0,1.6644775390624993,0.5670970133386046,0.4916658024911872,0.4900178748094299,0.07714592795860593,-0.05174725439370898,0.028782249307608383
2025,ABG,1000,3.0,2.0,1.7065917968749993,0.6066196337483291,0.5692074066034145,0.4900178748094299,0.07714592795860593,-0.05174725439370898,0.028782249307608383
2023,ABG,1000,4.0,2.0,1.7039550781249995,0.5934986310410548,0.5732134267050923,0.5733781198769328,0.09432258468285815,-0.06253805121087312,0.03279841900372772
2024,ABG,1000,4.0,2.0,1.6732666015624993,0.5670970133386046,0.4916658024911872,0.5733781198769328,0.09432258468285815,-0.06253805121087312,0.03279841900372772
2025,ABG,1000,4.0,2.0,1.7222656249999995,0.6066196337483291,0.5692074066034145,0.5733781198769328,0.09432258468285815,-0.06253805121087312,0.03279841900372772
2023,ABG,1000,5.0,2.0,1.6954589843749992,0.5934986310410548,0.5732134267050923,0.5096024037878859,0.08265495023332495,-0.06402646767787387,0.03209771270934697
2024,ABG,1000,5.0,2.0,1.6797119140624996,0.5670970133386046,0.4916658024911872,0.5096024037878859,0.08265495023332495,-0.06402646767787387,0.03209771270934697
2025,ABG,1000,5.0,2.0,1.699780273437499,0.6066196337483291,0.5692074066034145,0.5096024037878859,0.08265495023332495,-0.06402646767787387,0.03209771270934697
2023,ABG,1500,1.5,4.0,1.8567382812499993,0.5934986310410548,0.5732134267050923,0.8897158387395218,0.05783166313436133,0.139533812942824,0.004268747670287186
2024,ABG,1500,1.5,5.0,1.9261718749999996,0.5670970133386046,0.4916658024911872,0.8897158387395218,0.05783166313436133,0.139533812942824,0.004268747670287186
2025,ABG,1500,1.5,4.0,1.8459716796874996,0.6066196337483291,0.5692074066034145,0.8897158387395218,0.05783166313436133,0.139533812942824,0.004268747670287186
2023,ABG,1500,2.0,2.0,1.6128417968749993,0.5934986310410548,0.5732134267050923,0.6452412213451065,0.07186275966247764,0.09811292473840005,0.01566026724377395
2024,ABG,1500,2.0,2.0,1.5784179687499993,0.5670970133386046,0.4916658024911872,0.6452412213451065,0.07186275966247764,0.09811292473840005,0.01566026724377395
2025,ABG,1500,2.0,2.0,1.6189208984374988,0.6066196337483291,0.5692074066034145,0.6452412213451065,0.07186275966247764,0.09811292473840005,0.01566026724377395
2023,ABG,1500,3.0,2.0,1.695166015624999,0.5934986310410548,0.5732134267050923,0.5358606267788661,0.10226330366703676,-0.13411029551504183,0.03456965576475401
2024,ABG,1500,3.0,2.0,1.6754638671874993,0.5670970133386046,0.4916658024911872,0.5358606267788661,0.10226330366703676,-0.13411029551504183,0.03456965576475401
2025,ABG,1500,3.0,2.0,1.7024902343749995,0.6066196337483291,0.5692074066034145,0.5358606267788661,0.10226330366703676,-0.13411029551504183,0.03456965576475401
2023,ABG,1500,4.0,2.0,1.7145019531249988,0.5934986310410548,0.5732134267050923,0.49329543139666726,0.1109171214123487,-0.1868177729821487,0.03921498280582124
2024,ABG,1500,4.0,2.0,1.6691650390624995,0.5670970133386046,0.4916658024911872,0.49329543139666726,0.1109171214123487,-0.1868177729821487,0.03921498280582124
2025,ABG,1500,4.0,2.0,1.7030761718749994,0.6066196337483291,0.5692074066034145,0.49329543139666726,0.1109171214123487,-0.1868177729821487,0.03921498280582124
2023,ABG,1500,5.0,2.0,1.6425048828124993,0.5934986310410548,0.5732134267050923,0.45847102614946206,0.09086939049761711,-0.17357435736045967,0.03949421724460804
2024,ABG,1500,5.0,2.0,1.6677734374999988,0.5670970133386046,0.4916658024911872,0.45847102614946206,0.09086939049761711,-0.17357435736045967,0.03949421724460804
2025,ABG,1500,5.0,2.0,1.6273437499999992,0.6066196337483291,0.5692074066034145,0.45847102614946206,0.09086939049761711,-0.17357435736045967,0.03949421724460804
2023,ACL,50,1.5,5.0,1.9394287109374995,0.8961314500434202,0.6072300319793322,0.5970587560583965,0.1023377837263707,0.38763942093529496,0.02098359530551614
2024,ACL,50,1.5,4.0,1.8460449218749995,0.47843201730870016,0.3863770383931392,0.5970587560583965,0.1023377837263707,0.38763942093529496,0.02098359530551614
2025,ACL,50,1.5,4.0,1.8702148437499995,0.6153665833777727,0.4495877495523116,0.5970587560583965,0.1023377837263707,0.38763942093529496,0.02098359530551614
2023,ACL,50,2.0,3.0,1.7839355468749996,0.8961314500434202,0.6072300319793322,0.7879685759435193,0.4376624106663024,0.017105858129144433,0.015430987614465758
2024,ACL,50,2.0,3.0,1.8758544921875,0.47843201730870016,0.3863770383931392,0.7879685759435193,0.4376624106663024,0.017105858129144433,0.015430987614465758
2025,ACL,50,2.0,3.0,1.8327148437499998,0.6153665833777727,0.4495877495523116,0.7879685759435193,0.4376624106663024,0.017105858129144433,0.015430987614465758
2023,ACL,50,3.0,2.0,1.5308105468749993,0.8961314500434202,0.6072300319793322,0.5162773365068997,0.35263650953505077,0.05114766129800323,0.009028142978345222
2024,ACL,50,3.0,2.0,1.5579833984374982,0.47843201730870016,0.3863770383931392,0.5162773365068997,0.35263650953505077,0.05114766129800323,0.009028142978345222
2025,ACL,50,3.0,2.0,1.5356445312499991,0.6153665833777727,0.4495877495523116,0.5162773365068997,0.35263650953505077,0.05114766129800323,0.009028142978345222
2023,ACL,50,4.0,2.0,1.5377685546874993,0.8961314500434202,0.6072300319793322,0.4398621074166529,0.33224448237048254,0.002818655423906797,0.013187599978483665
2024,ACL,50,4.0,2.0,1.5641357421874984,0.47843201730870016,0.3863770383931392,0.4398621074166529,0.33224448237048254,0.002818655423906797,0.013187599978483665
2025,ACL,50,4.0,2.0,1.570141601562499,0.6153665833777727,0.4495877495523116,0.4398621074166529,0.33224448237048254,0.002818655423906797,0.013187599978483665
2023,ACL,50,5.0,2.0,1.4772705078124986,0.8961314500434202,0.6072300319793322,0.8766384657024783,0.5630882446215679,0.029022618144384147,0.021482758859907716
2024,ACL,50,5.0,2.0,1.5362304687499995,0.47843201730870016,0.3863770383931392,0.8766384657024783,0.5630882446215679,0.029022618144384147,0.021482758859907716
2025,ACL,50,5.0,2.0,1.5800292968749994,0.6153665833777727,0.4495877495523116,0.8766384657024783,0.5630882446215679,0.029022618144384147,0.021482758859907716
2023,ACL,100,1.5,4.0,1.8554199218749998,0.8961314500434202,0.6072300319793322,0.45705964777267544,0.19803045510830627,0.24721489828943827,0.021379136685201385
2024,ACL,100,1.5,4.0,1.9045654296874996,0.47843201730870016,0.3863770383931392,0.45705964777267544,0.19803045510830627,0.24721489828943827,0.021379136685201385
2025,ACL,100,1.5,4.0,1.9718749999999998,0.6153665833777727,0.4495877495523116,0.45705964777267544,0.19803045510830627,0.24721489828943827,0.021379136685201385
2023,ACL,100,2.0,3.0,1.9789794921875004,0.8961314500434202,0.6072300319793322,0.698088829813399,0.46934175382838383,0.06318330429257644,0.02082069206530049
2024,ACL,100,2.0,3.0,1.957666015625,0.47843201730870016,0.3863770383931392,0.698088829813399,0.46934175382838383,0.06318330429257644,0.02082069206530049
2025,ACL,100,2.0,3.0,1.8926269531249993,0.6153665833777727,0.4495877495523116,0.698088829813399,0.46934175382838383,0.06318330429257644,0.02082069206530049
2023,ACL,100,3.0,2.0,1.5685302734374984,0.8961314500434202,0.6072300319793322,0.39274641056717424,0.4604355315982518,-0.0012853162765084868,0.011273633942068765
2024,ACL,100,3.0,2.0,1.5489746093749992,0.47843201730870016,0.3863770383931392,0.39274641056717424,0.4604355315982518,-0.0012853162765084868,0.011273633942068765
2025,ACL,100,3.0,2.0,1.5842041015624995,0.6153665833777727,0.4495877495523116,0.39274641056717424,0.4604355315982518,-0.0012853162765084868,0.011273633942068765
2025,ACL,100,4.0,2.0,1.5927734374999987,0.6153665833777727,0.4495877495523116,0.5092410117113073,0.3936140984126472,-0.006738126554815693,0.008717476416889039
2023,ACL,500,1.5,4.0,1.9196533203124995,0.8961314500434202,0.6072300319793322,0.5741601742163928,0.2894132540351265,0.0623382874622399,0.01492434848423712
2024,ACL,500,1.5,3.0,1.7202148437499991,0.47843201730870016,0.3863770383931392,0.5741601742163928,0.2894132540351265,0.0623382874622399,0.01492434848423712
2025,ACL,500,1.5,3.0,1.7112792968749995,0.6153665833777727,0.4495877495523116,0.5741601742163928,0.2894132540351265,0.0623382874622399,0.01492434848423712
2023,ACL,500,2.0,3.0,1.9302001953124996,0.8961314500434202,0.6072300319793322,0.551639848886768,0.5124456825850068,0.030794854534791073,0.01626632369379289
2024,ACL,500,2.0,3.0,1.9691650390625002,0.47843201730870016,0.3863770383931392,0.551639848886768,0.5124456825850068,0.030794854534791073,0.01626632369379289
2025,ACL,500,2.0,2.0,1.5248779296874986,0.6153665833777727,0.4495877495523116,0.551639848886768,0.5124456825850068,0.030794854534791073,0.01626632369379289
