year,ticker,N,delta,xmin,alpha,gamma (nlls),gamma (psd),phi exponent,beta exponent
2023,ABG,100,2,3.0,1.9816162109374993,0.5934986310410548,0.5732134267050923,0.7592029145736308,0.1541277368385365
2024,ABG,100,2,3.0,1.8902099609374998,0.5670970133386046,0.4916658024911872,0.7592029145736308,0.1541277368385365
2025,ABG,100,2,3.0,1.9835937499999994,0.6066196337483291,0.5692074066034145,0.7592029145736308,0.1541277368385365
2023,ABG,100,3,2.0,1.642651367187499,0.5934986310410548,0.5732134267050923,0.685914287745168,0.1611419793615261
2024,ABG,100,3,2.0,1.599035644531249,0.5670970133386046,0.4916658024911872,0.685914287745168,0.1611419793615261
2025,ABG,100,3,2.0,1.6535644531249991,0.6066196337483291,0.5692074066034145,0.685914287745168,0.1611419793615261
2023,ABG,100,4,2.0,1.6562011718749994,0.5934986310410548,0.5732134267050923,0.6873719705937492,0.16443523050139602
2024,ABG,100,4,2.0,1.6139404296874993,0.5670970133386046,0.4916658024911872,0.6873719705937492,0.16443523050139602
2025,ABG,100,4,2.0,1.664624023437499,0.6066196337483291,0.5692074066034145,0.6873719705937492,0.16443523050139602
2023,ABG,500,2,2.0,1.5709472656249988,0.5934986310410548,0.5732134267050923,0.6845494774187297,0.1155979276491566
2024,ABG,500,2,2.0,1.5321289062499988,0.5670970133386046,0.4916658024911872,0.6845494774187297,0.1155979276491566
2025,ABG,500,2,2.0,1.570141601562499,0.6066196337483291,0.5692074066034145,0.6845494774187297,0.1155979276491566
2023,ABG,500,3,2.0,1.6899658203124996,0.5934986310410548,0.5732134267050923,0.5460754410616374,0.07894627807499902
2024,ABG,500,3,2.0,1.6617675781249992,0.5670970133386046,0.4916658024911872,0.5460754410616374,0.07894627807499902
2025,ABG,500,3,2.0,1.6964111328124991,0.6066196337483291,0.5692074066034145,0.5460754410616374,0.07894627807499902
2023,ABG,500,4,2.0,1.7004394531249991,0.5934986310410548,0.5732134267050923,0.5428446526050341,0.08791722067895516
2024,ABG,500,4,2.0,1.6764892578124995,0.5670970133386046,0.4916658024911872,0.5428446526050341,0.08791722067895516
2025,ABG,500,4,2.0,1.7095214843749993,0.6066196337483291,0.5692074066034145,0.5428446526050341,0.08791722067895516
2023,ABG,1000,2,2.0,1.6152954101562496,0.5934986310410548,0.5732134267050923,0.5981153976729626,0.08369719727317355
